r1	r2	reconstruction_loss
1	64	1.3267165e-14
2	64	6.1617378e-15
3	64	6.3837824e-15
4	64	6.7723605e-15
5	64	6.7723605e-15
6	64	6.7723605e-15
7	64	6.8278716e-15
8	64	6.550316e-15
9	64	6.4948047e-15
10	64	6.4948047e-15
11	64	6.7168493e-15
12	64	6.7168493e-15
13	64	6.7168493e-15
14	64	7.1054274e-15
15	64	7.1609385e-15
16	64	6.938894e-15
17	64	6.938894e-15
18	64	6.994405e-15
19	64	6.994405e-15
20	64	7.21645e-15
21	64	7.21645e-15
22	64	7.21645e-15
23	64	7.21645e-15
24	64	7.1609385e-15
25	64	7.1054274e-15
26	64	7.1609385e-15
27	64	7.1609385e-15
28	64	7.382983e-15
29	64	7.382983e-15
30	64	7.438494e-15
31	64	7.438494e-15
32	64	8.049117e-15
33	64	8.049117e-15
34	64	8.049117e-15
35	64	8.049117e-15
36	64	7.993606e-15
37	64	7.993606e-15
38	64	7.993606e-15
39	64	8.049117e-15
40	64	8.437695e-15
41	64	8.437695e-15
42	64	8.6042284e-15
43	64	8.548717e-15
44	64	8.548717e-15
45	64	8.548717e-15
46	64	8.6042284e-15
47	64	8.548717e-15
48	64	8.493206e-15
49	64	8.493206e-15
50	64	8.493206e-15
51	64	8.2711615e-15
52	64	8.160139e-15
53	64	8.160139e-15
54	64	8.160139e-15
55	64	8.326673e-15
56	64	8.6042284e-15
57	64	8.6042284e-15
58	64	8.826273e-15
59	64	8.826273e-15
60	64	8.881784e-15
61	64	8.881784e-15
62	64	8.826273e-15
63	64	8.826273e-15
64	64	8.937295e-15
